Timestamp,SRRL BMS Global Horizontal Irradiance (W/m²_irr),SRRL BMS Direct Normal Irradiance (W/m²_irr),SRRL BMS Diffuse Horizontal Irradiance (W/m²_irr),SRRL BMS Dry Bulb Temperature (°C),SRRL BMS Wind Speed at 19' (m/s),Avg Wind Speed @ 10m [m/s],Peak Wind Speed @ 2m [m/s],Peak Wind Speed @ 10m [m/s]
2024-06-24 16:31:20-06:00,271.636,94.23646666666666,219.26033333333334,28.54,2.3503333333333334,3.778,3.0893333333333333,4.105666666666667
2024-06-24 16:31:20.500000-06:00,271.72325,94.37948583333333,219.27209166666665,28.54025,2.3452916666666668,3.774425,3.0833416666666666,4.1029583333333335
2024-06-24 16:31:21-06:00,271.8105,94.522505,219.28385,28.5405,2.34025,3.77085,3.07735,4.10025
2024-06-24 16:31:21.500000-06:00,271.89775000000003,94.66552416666666,219.29560833333332,28.54075,2.3352083333333336,3.7672749999999997,3.0713583333333334,4.097541666666666
2024-06-24 16:31:22-06:00,271.985,94.80854333333333,219.30736666666667,28.541,2.330166666666667,3.7637,3.065366666666667,4.094833333333334
2024-06-24 16:31:22.500000-06:00,272.07225,94.9515625,219.31912499999999,28.54125,2.325125,3.760125,3.059375,4.092125
2024-06-24 16:31:23-06:00,272.1595,95.09458166666666,219.33088333333333,28.5415,2.3200833333333333,3.75655,3.0533833333333336,4.089416666666667
2024-06-24 16:31:23.500000-06:00,272.24675,95.23760083333333,219.34264166666665,28.54175,2.3150416666666667,3.7529749999999997,3.047391666666667,4.086708333333333
2024-06-24 16:31:24-06:00,272.334,95.38062,219.3544,28.542,2.31,3.7494,3.0414,4.0840000000000005
2024-06-24 16:31:24.500000-06:00,272.42125,95.52363916666667,219.36615833333332,28.54225,2.3049583333333334,3.745825,3.0354083333333333,4.081291666666667
2024-06-24 16:31:25-06:00,272.5085,95.66665833333333,219.37791666666666,28.5425,2.299916666666667,3.74225,3.0294166666666666,4.0785833333333334
2024-06-24 16:31:25.500000-06:00,272.59575,95.80967749999999,219.38967499999998,28.54275,2.294875,3.7386749999999997,3.023425,4.075875
2024-06-24 16:31:26-06:00,272.683,95.95269666666667,219.40143333333333,28.543,2.289833333333333,3.7351,3.0174333333333334,4.073166666666666
2024-06-24 16:31:26.500000-06:00,272.77025,96.09571583333333,219.41319166666665,28.54325,2.2847916666666666,3.731525,3.011441666666667,4.070458333333334
